Scenario,SNR,Masked NMSE,Masked NMSE (dB)
Compact,0,0.0006954122,31.577576945181576
Compact,5,0.0006498327,31.8719843846312
Compact,10,0.000636172,31.964254495214806
Compact,12,0.000634032,31.97888822445225
Compact,14,0.0006329192,31.986517295307383
Compact,16,0.000631723,31.994733108668413
Compact,18,0.000630992,31.999761469014754
Compact,20,0.0006307861,32.00117885349175
Compact,22,0.0006305772,32.00261736241458
Compact,24,0.0006303542,32.0041534915089
Compact,26,0.0006302023,32.00520016148554
Compact,28,0.0006302023,32.00520016148554
Compact,30,0.0006302076,32.005163637482454
Dense,0,0.003695784,24.32293419039953
Dense,5,0.003735808,24.276154522179727
Dense,10,0.003756446,24.252228498884023
Dense,12,0.003760213,24.24787553448776
Dense,14,0.003763023,24.244631272175905
Dense,16,0.00376465,24.242753940009486
Dense,18,0.003764983,24.24236980425528
Dense,20,0.003765483,24.24179308764499
Dense,22,0.003765968,24.241233745696103
Dense,24,0.003766299,24.240852050587307
Dense,26,0.003766442,24.24068715945161
Dense,28,0.003766486,24.240636424977037
Dense,30,0.003766741,24.240342407305917
Standard,0,0.001189404,29.246706052894012
Standard,5,0.001144637,29.413322197799655
Standard,10,0.001130236,29.4683086377644
Standard,12,0.001127096,29.48039091500788
Standard,14,0.001126187,29.4838949019058
Standard,16,0.001125014,29.48842073032694
Standard,18,0.00112441,29.490753006264015
Standard,20,0.001124035,29.492201655728188
Standard,22,0.001124147,29.491768941810783
Standard,24,0.001123802,29.493101993382975
Standard,26,0.001123724,29.49340343567643
Standard,28,0.001123621,29.49380152614912
Standard,30,0.00112357,29.493998652415474
