Task,SNR,NMSE
model_Compact_test_compact,0,0.6827620313717768
model_Compact_test_compact,5,0.6449193358421326
model_Compact_test_compact,10,0.6302813795896677
model_Compact_test_compact,12,0.6287166247001061
model_Compact_test_compact,14,0.6275020425136273
model_Compact_test_compact,16,0.6269318553117605
model_Compact_test_compact,18,0.6268129440454336
model_Compact_test_compact,20,0.6262065355594342
model_Compact_test_compact,22,0.6261927760564364
model_Compact_test_compact,24,0.6259749806844271
model_Compact_test_compact,26,0.6259698363450857
model_Compact_test_compact,28,0.6258891729208139
model_Compact_test_compact,30,0.6257587854678814
model_Compact_test_Dense,0,0.6844456425079932
model_Compact_test_Dense,5,0.6457458963760963
model_Compact_test_Dense,10,0.6308494164393499
model_Compact_test_Dense,12,0.6285403049909152
model_Compact_test_Dense,14,0.6275848150253296
model_Compact_test_Dense,16,0.6269451425625727
model_Compact_test_Dense,18,0.626263114122244
model_Compact_test_Dense,20,0.6264736560674814
model_Compact_test_Dense,22,0.6262323306157038
model_Compact_test_Dense,24,0.6260764048649714
model_Compact_test_Dense,26,0.6258908097560589
model_Compact_test_Dense,28,0.6260417012067941
model_Compact_test_Dense,30,0.6258443089631888
model_Compact_test_Standard,0,0.6877915675823505
model_Compact_test_Standard,5,0.6478721316044147
model_Compact_test_Standard,10,0.6331836122732896
model_Compact_test_Standard,12,0.6304375941936786
model_Compact_test_Standard,14,0.6292771238547105
model_Compact_test_Standard,16,0.6286815542441148
model_Compact_test_Standard,18,0.6280387869248023
model_Compact_test_Standard,20,0.6278496430470393
model_Compact_test_Standard,22,0.6275576444772574
model_Compact_test_Standard,24,0.6276217103004456
model_Compact_test_Standard,26,0.6273571527921237
model_Compact_test_Standard,28,0.6274200356923617
model_Compact_test_Standard,30,0.6275979097072895
model_Dense_test_compact,0,0.6691661201990567
model_Dense_test_compact,5,0.6415412059197059
model_Dense_test_compact,10,0.6327467881716214
model_Dense_test_compact,12,0.631488772538992
model_Dense_test_compact,14,0.6306657195091248
model_Dense_test_compact,16,0.6302402386298547
model_Dense_test_compact,18,0.6302176301295941
model_Dense_test_compact,20,0.6299904080537649
model_Dense_test_compact,22,0.6302746442648081
model_Dense_test_compact,24,0.6299576667638925
model_Dense_test_compact,26,0.6298249914095952
model_Dense_test_compact,28,0.6298520106535691
model_Dense_test_compact,30,0.6297917686975919
model_Dense_test_Dense,0,0.670399743777055
model_Dense_test_Dense,5,0.6420099414311923
model_Dense_test_Dense,10,0.6327484983664292
model_Dense_test_Dense,12,0.6313312970674955
model_Dense_test_Dense,14,0.6304560257838323
model_Dense_test_Dense,16,0.6301223910771884
model_Dense_test_Dense,18,0.6297658636019781
model_Dense_test_Dense,20,0.6299566580699041
model_Dense_test_Dense,22,0.6295617543734037
model_Dense_test_Dense,24,0.6294858593207139
model_Dense_test_Dense,26,0.6296451366864718
model_Dense_test_Dense,28,0.6289870326335614
model_Dense_test_Dense,30,0.6295056755726154
model_Dense_test_Standard,0,0.6728481833751385
model_Dense_test_Standard,5,0.6439503843967731
model_Dense_test_Standard,10,0.6340670172984784
model_Dense_test_Standard,12,0.632529813509721
model_Dense_test_Standard,14,0.6319378064228938
model_Dense_test_Standard,16,0.6311192145714393
model_Dense_test_Standard,18,0.6308273306259742
model_Dense_test_Standard,20,0.6310472167455233
model_Dense_test_Standard,22,0.6306184209310092
model_Dense_test_Standard,24,0.6306176414856544
model_Dense_test_Standard,26,0.6305089684633108
model_Dense_test_Standard,28,0.6306303831247183
model_Dense_test_Standard,30,0.6304150177882268
model_Standard_test_compact,0,0.6873365182142991
model_Standard_test_compact,5,0.6522704913065984
model_Standard_test_compact,10,0.64222730581577
model_Standard_test_compact,12,0.641430873137254
model_Standard_test_compact,14,0.6405440752322857
model_Standard_test_compact,16,0.640333565381857
model_Standard_test_compact,18,0.6403873379413898
model_Standard_test_compact,20,0.6401833525070777
model_Standard_test_compact,22,0.640109291443458
model_Standard_test_compact,24,0.6400668208415692
model_Standard_test_compact,26,0.640432018500108
model_Standard_test_compact,28,0.6397889485725989
model_Standard_test_compact,30,0.639891294332651
model_Standard_test_Dense,0,0.6880625486373901
model_Standard_test_Dense,5,0.6527207126984229
model_Standard_test_Dense,10,0.6426094403633704
model_Standard_test_Dense,12,0.6413947939872742
model_Standard_test_Dense,14,0.6409235413257892
model_Standard_test_Dense,16,0.6402364923403814
model_Standard_test_Dense,18,0.6402787015988276
model_Standard_test_Dense,20,0.6402395596871009
model_Standard_test_Dense,22,0.6401594877243042
model_Standard_test_Dense,24,0.640029618373284
model_Standard_test_Dense,26,0.6402300687936636
model_Standard_test_Dense,28,0.6400676828164321
model_Standard_test_Dense,30,0.639927497276893
model_Standard_test_Standard,0,0.6912050751539377
model_Standard_test_Standard,5,0.6549746577556317
model_Standard_test_Standard,10,0.6439853173035842
model_Standard_test_Standard,12,0.6430153663341815
model_Standard_test_Standard,14,0.6423201056627127
model_Standard_test_Standard,16,0.6415363596035883
model_Standard_test_Standard,18,0.6413509662334735
model_Standard_test_Standard,20,0.6413803054736211
model_Standard_test_Standard,22,0.6413178260509784
model_Standard_test_Standard,24,0.6409787031320425
model_Standard_test_Standard,26,0.6412274975043076
model_Standard_test_Standard,28,0.641390860080719
model_Standard_test_Standard,30,0.6409905552864075
