Task,SNR,NMSE
model_Compact_test_compact,0,0.6620949644308823
model_Compact_test_compact,5,0.6608454172427838
model_Compact_test_compact,10,0.6609801879295936
model_Compact_test_compact,12,0.66098952293396
model_Compact_test_compact,14,0.6610419475115262
model_Compact_test_compact,16,0.6607715762578524
model_Compact_test_compact,18,0.6608952971605154
model_Compact_test_compact,20,0.6609897842774024
model_Compact_test_compact,22,0.660809324337886
model_Compact_test_compact,24,0.660973466359652
model_Compact_test_compact,26,0.6607223932559674
model_Compact_test_compact,28,0.6609348563047556
model_Compact_test_compact,30,0.6606201988000137
model_Compact_test_Dense,0,0.6627807983985314
model_Compact_test_Dense,5,0.661086210837731
model_Compact_test_Dense,10,0.6607919518764203
model_Compact_test_Dense,12,0.660968175301185
model_Compact_test_Dense,14,0.6611092549103957
model_Compact_test_Dense,16,0.6610788657115056
model_Compact_test_Dense,18,0.6609328985214233
model_Compact_test_Dense,20,0.6609249711036682
model_Compact_test_Dense,22,0.6609938878279465
model_Compact_test_Dense,24,0.6609637553875263
model_Compact_test_Dense,26,0.6608571226780231
model_Compact_test_Dense,28,0.6611241835814256
model_Compact_test_Dense,30,0.6608872963831975
model_Compact_test_Standard,0,0.664612550001878
model_Compact_test_Standard,5,0.6626546933100774
model_Compact_test_Standard,10,0.6624018228971041
model_Compact_test_Standard,12,0.662296290581043
model_Compact_test_Standard,14,0.6624429959517258
model_Compact_test_Standard,16,0.6622256590769842
model_Compact_test_Standard,18,0.6626052718896133
model_Compact_test_Standard,20,0.662431015418126
model_Compact_test_Standard,22,0.6624034322225131
model_Compact_test_Standard,24,0.6625299407885625
model_Compact_test_Standard,26,0.6625309082177969
model_Compact_test_Standard,28,0.6622252601843613
model_Compact_test_Standard,30,0.662237639610584
model_Dense_test_compact,0,0.6403694657179025
model_Dense_test_compact,5,0.6388342747321496
model_Dense_test_compact,10,0.639157194357652
model_Dense_test_compact,12,0.6392882282917316
model_Dense_test_compact,14,0.6393565994042617
model_Dense_test_compact,16,0.6391616601210374
model_Dense_test_compact,18,0.6391839568431561
model_Dense_test_compact,20,0.6396264112912692
model_Dense_test_compact,22,0.6392075190177331
model_Dense_test_compact,24,0.639248210650224
model_Dense_test_compact,26,0.6393693089485168
model_Dense_test_compact,28,0.639007738003364
model_Dense_test_compact,30,0.6396105702106769
model_Dense_test_Dense,0,0.6408687233924866
model_Dense_test_Dense,5,0.6393623627149142
model_Dense_test_Dense,10,0.6391230042164142
model_Dense_test_Dense,12,0.6391544433740469
model_Dense_test_Dense,14,0.6392611035933862
model_Dense_test_Dense,16,0.6393101536310636
model_Dense_test_Dense,18,0.6392472890707163
model_Dense_test_Dense,20,0.639536399107713
model_Dense_test_Dense,22,0.6393232620679415
model_Dense_test_Dense,24,0.6390882684634283
model_Dense_test_Dense,26,0.6393433625881488
model_Dense_test_Dense,28,0.6392856377821702
model_Dense_test_Dense,30,0.6389862757462722
model_Dense_test_Standard,0,0.6428438379214361
model_Dense_test_Standard,5,0.6405913600554833
model_Dense_test_Standard,10,0.6404968821085416
model_Dense_test_Standard,12,0.6405247128926791
model_Dense_test_Standard,14,0.6403970580834609
model_Dense_test_Standard,16,0.6406391033759484
model_Dense_test_Standard,18,0.640531471142402
model_Dense_test_Standard,20,0.6409449852429904
model_Dense_test_Standard,22,0.6407115688690772
model_Dense_test_Standard,24,0.64056252516233
model_Dense_test_Standard,26,0.6404268420659579
model_Dense_test_Standard,28,0.6403553440020635
model_Dense_test_Standard,30,0.6403618271534259
model_Standard_test_compact,0,0.6642315662824191
model_Standard_test_compact,5,0.663750749367934
model_Standard_test_compact,10,0.6638028988471398
model_Standard_test_compact,12,0.6638712332798884
model_Standard_test_compact,14,0.6638125868944021
model_Standard_test_compact,16,0.6641169694753793
model_Standard_test_compact,18,0.6636633047690759
model_Standard_test_compact,20,0.6635379837109492
model_Standard_test_compact,22,0.663752175294436
model_Standard_test_compact,24,0.6639668345451355
model_Standard_test_compact,26,0.6640075582724351
model_Standard_test_compact,28,0.6636654505362878
model_Standard_test_compact,30,0.6635450033041147
model_Standard_test_Dense,0,0.664148550767165
model_Standard_test_Dense,5,0.6635458194292508
model_Standard_test_Dense,10,0.6635136329210721
model_Standard_test_Dense,12,0.6635292034882766
model_Standard_test_Dense,14,0.6637272101182204
model_Standard_test_Dense,16,0.6635911372991709
model_Standard_test_Dense,18,0.6635850347005404
model_Standard_test_Dense,20,0.6635533433694106
model_Standard_test_Dense,22,0.6635126884167011
model_Standard_test_Dense,24,0.6636474911983197
model_Standard_test_Dense,26,0.6637002917436453
model_Standard_test_Dense,28,0.6637755265602698
model_Standard_test_Dense,30,0.6635775474401621
model_Standard_test_Standard,0,0.6655493653737582
model_Standard_test_Standard,5,0.6645779747229356
model_Standard_test_Standard,10,0.6644673301623418
model_Standard_test_Standard,12,0.6641961198586684
model_Standard_test_Standard,14,0.6644970407852759
model_Standard_test_Standard,16,0.6644271566317632
model_Standard_test_Standard,18,0.6642464811985309
model_Standard_test_Standard,20,0.6646072864532471
model_Standard_test_Standard,22,0.6645292914830722
model_Standard_test_Standard,24,0.6648550354517423
model_Standard_test_Standard,26,0.6644103618768545
model_Standard_test_Standard,28,0.6646260848412147
model_Standard_test_Standard,30,0.6648180255523095
