Task,SNR,NMSE
model_Compact_test_compact,0,0.9999843881680415
model_Compact_test_compact,5,0.9999769788521987
model_Compact_test_compact,10,0.9999771164013789
model_Compact_test_compact,12,0.9999774602743295
model_Compact_test_compact,14,0.9999962449073792
model_Compact_test_compact,16,0.9999785377429082
model_Compact_test_compact,18,0.9999759059685928
model_Compact_test_compact,20,0.9999863184415377
model_Compact_test_compact,22,0.9999807293598468
model_Compact_test_compact,24,0.9999780425658593
model_Compact_test_compact,26,0.999977496954111
model_Compact_test_compact,28,0.9999813437461853
model_Compact_test_compact,30,0.9999791200344379
model_Compact_test_Dense,0,0.9999783405890832
model_Compact_test_Dense,5,0.9999735263677744
model_Compact_test_Dense,10,0.9999783589289739
model_Compact_test_Dense,12,0.9999730541155889
model_Compact_test_Dense,14,0.9999722150655893
model_Compact_test_Dense,16,0.9999812520467318
model_Compact_test_Dense,18,0.9999782030399029
model_Compact_test_Dense,20,0.9999747322155879
model_Compact_test_Dense,22,0.9999731228901789
model_Compact_test_Dense,24,0.9999729853409988
model_Compact_test_Dense,26,0.9999750806735113
model_Compact_test_Dense,28,0.9999842597888067
model_Compact_test_Dense,30,0.9999767541885376
model_Compact_test_Standard,0,0.9999985144688532
model_Compact_test_Standard,5,0.9999987207926236
model_Compact_test_Standard,10,0.9999986703579242
model_Compact_test_Standard,12,0.9999986886978149
model_Compact_test_Standard,14,0.9999985878284161
model_Compact_test_Standard,16,0.9999987849822412
model_Compact_test_Standard,18,0.9999985557336074
model_Compact_test_Standard,20,0.9999988079071045
model_Compact_test_Standard,22,0.9999987253775964
model_Compact_test_Standard,24,0.9999985007139353
model_Compact_test_Standard,26,0.99999888585164
model_Compact_test_Standard,28,0.9999988124920771
model_Compact_test_Standard,30,0.9999984548642085
model_Dense_test_compact,0,0.9999771164013789
model_Dense_test_compact,5,0.9999761443871719
model_Dense_test_compact,10,0.9999802525226886
model_Dense_test_compact,12,0.9999759197235107
model_Dense_test_compact,14,0.9999765203549311
model_Dense_test_compact,16,0.9999773869147668
model_Dense_test_compact,18,0.999975860118866
model_Dense_test_compact,20,0.9999760481027457
model_Dense_test_compact,22,0.9999773869147668
model_Dense_test_compact,24,0.9999812016120324
model_Dense_test_compact,26,0.9999761489721445
model_Dense_test_compact,28,0.99997590138362
model_Dense_test_compact,30,0.9999770751366248
model_Dense_test_Dense,0,0.9999734071584848
model_Dense_test_Dense,5,0.9999732787792499
model_Dense_test_Dense,10,0.9999722517453707
model_Dense_test_Dense,12,0.9999727606773376
model_Dense_test_Dense,14,0.9999722242355347
model_Dense_test_Dense,16,0.9999722792552068
model_Dense_test_Dense,18,0.9999754703961886
model_Dense_test_Dense,20,0.9999751311082107
model_Dense_test_Dense,22,0.9999759976680462
model_Dense_test_Dense,24,0.9999759655732375
model_Dense_test_Dense,26,0.9999756262852595
model_Dense_test_Dense,28,0.9999755300008334
model_Dense_test_Dense,30,0.99997255893854
model_Dense_test_Standard,0,0.9999984823740445
model_Dense_test_Standard,5,0.9999980513866131
model_Dense_test_Standard,10,0.9999984823740445
model_Dense_test_Standard,12,0.9999986245081975
model_Dense_test_Standard,14,0.9999984823740445
model_Dense_test_Standard,16,0.9999984823740445
model_Dense_test_Standard,18,0.9999985557336074
model_Dense_test_Standard,20,0.999998674942897
model_Dense_test_Standard,22,0.999998308145083
model_Dense_test_Standard,24,0.9999984823740445
model_Dense_test_Standard,26,0.9999982898051922
model_Dense_test_Standard,28,0.9999985236387986
model_Dense_test_Standard,30,0.9999979505172143
model_Standard_test_compact,0,0.6879561543464661
model_Standard_test_compact,5,0.68666593845074
model_Standard_test_compact,10,0.6852629780769348
model_Standard_test_compact,12,0.6867298254599938
model_Standard_test_compact,14,0.6857107465083783
model_Standard_test_compact,16,0.686010901744549
model_Standard_test_compact,18,0.6860278982382554
model_Standard_test_compact,20,0.6859469322057871
model_Standard_test_compact,22,0.6872674960356492
model_Standard_test_compact,24,0.6862513560515183
model_Standard_test_compact,26,0.6859042782049912
model_Standard_test_compact,28,0.6859484085669885
model_Standard_test_compact,30,0.6861837185346163
model_Standard_test_Dense,0,0.7346221621219928
model_Standard_test_Dense,5,0.7354124463521517
model_Standard_test_Dense,10,0.7348240889035739
model_Standard_test_Dense,12,0.736137866973877
model_Standard_test_Dense,14,0.7362258709394015
model_Standard_test_Dense,16,0.7370974650749793
model_Standard_test_Dense,18,0.7365604914151705
model_Standard_test_Dense,20,0.73659021120805
model_Standard_test_Dense,22,0.7352449389604422
model_Standard_test_Dense,24,0.7364889887663034
model_Standard_test_Dense,26,0.7357945304650527
model_Standard_test_Dense,28,0.7369611309124873
model_Standard_test_Dense,30,0.7357513950421259
model_Standard_test_Standard,0,0.28543224472265977
model_Standard_test_Standard,5,0.28322140070108265
model_Standard_test_Standard,10,0.2831591069698334
model_Standard_test_Standard,12,0.2842954649375035
model_Standard_test_Standard,14,0.2834368416896233
model_Standard_test_Standard,16,0.2851179586007045
model_Standard_test_Standard,18,0.28480430520497835
model_Standard_test_Standard,20,0.2844648017333104
model_Standard_test_Standard,22,0.28341565223840565
model_Standard_test_Standard,24,0.28362589616041917
model_Standard_test_Standard,26,0.284666861479099
model_Standard_test_Standard,28,0.28282360617931074
model_Standard_test_Standard,30,0.28414025673499477
