Epoch,Average Loss,Epoch Time (s)
1,0.24187282224496207,21.72
2,0.19821241994698843,17.72
3,0.14837658405303955,20.41
4,0.09925413007537524,20.21
5,0.06017783905069033,17.78
6,0.032968174355725445,20.73
7,0.01665890666966637,17.70
8,0.00819195636237661,20.84
9,0.004131249773005645,17.79
10,0.0021261153160594404,20.40
11,0.0010918989913382877,17.82
12,0.0005751782737206668,19.58
13,0.00031031728819167864,20.47
14,0.00017957277790022394,17.22
15,0.00012090857368699896,20.61
16,9.427146869711578e-05,17.36
17,7.969627040438354e-05,20.72
18,7.099227756649877e-05,17.33
19,6.616521932301112e-05,20.25
20,6.351502694694015e-05,17.79
21,6.217360957331645e-05,20.13
22,6.119008200281921e-05,20.47
23,6.0780378286532745e-05,17.41
24,6.0485853585608616e-05,20.73
25,6.0426686710949674e-05,17.65
26,6.034137792691278e-05,19.58
27,6.028317572296752e-05,17.69
28,6.007811134622898e-05,20.28
29,5.9899926782236435e-05,17.37
30,6.0050106791701786e-05,20.11
Total Training Time,00:09:36 (576.33 seconds)
