Epoch,Average Loss,Epoch Time (s)
1,0.24354532609383264,20.76
2,0.20972595860560736,18.45
3,0.15105195343494415,19.51
4,0.09332039579749107,19.90
5,0.05485369016726812,17.84
6,0.027507524316509564,20.02
7,0.014170411974191666,17.85
8,0.00749813726482292,20.27
9,0.004195498613019784,17.97
10,0.002385440767587473,20.30
11,0.0013482286206757028,17.62
12,0.0007837120889841268,20.28
13,0.0004566790060683464,20.39
14,0.00027964180723453563,17.76
15,0.00018162417594188204,20.23
16,0.00012507151889925203,17.96
17,9.311024041380733e-05,20.10
18,7.588080916320905e-05,18.29
19,6.725379959486115e-05,20.08
20,6.341523718826163e-05,17.82
21,6.145644874777645e-05,20.02
22,6.0479932775100074e-05,20.17
23,6.019070375865946e-05,17.81
24,6.002443660690915e-05,19.97
25,5.9830714235431515e-05,17.58
26,5.986574979033321e-05,20.54
27,5.959395093668718e-05,17.91
28,5.9755058828159235e-05,20.16
29,5.9790614614030346e-05,20.71
30,5.951002276560757e-05,18.47
Total Training Time,00:09:37 (577.21 seconds)
