Epoch,Average Loss,Epoch Time (s)
1,0.0005946540456853083,193.65
2,7.805844502967733e-05,189.28
3,6.918019250928782e-05,189.45
4,6.613796761650354e-05,190.56
5,6.4791625362705e-05,195.34
6,6.394189730145158e-05,197.45
7,6.34728499571856e-05,190.35
8,6.30492679203314e-05,178.13
9,6.278275265500215e-05,180.83
10,6.253650116084107e-05,186.00
11,6.235366226105917e-05,188.68
12,6.216326189309138e-05,191.50
13,6.208850603520292e-05,185.83
14,6.199689317557931e-05,185.94
15,6.186971764598059e-05,188.62
16,6.178527433645642e-05,190.94
17,6.167313008223274e-05,195.06
18,6.163170332045634e-05,179.07
19,6.155256814463626e-05,194.97
20,6.151249846904145e-05,190.56
21,6.144852933002595e-05,184.95
22,6.14063659579145e-05,185.10
23,6.136691880792228e-05,185.50
24,6.132257120167674e-05,192.53
25,6.127509321104958e-05,188.54
26,6.123910746034447e-05,191.78
27,6.119043216688283e-05,192.37
28,6.114895194406408e-05,188.40
29,6.114150019498641e-05,194.87
30,6.111917133586239e-05,191.02
Total Training Time,01:34:39 (5679.21 seconds)
