Epoch,Average Loss,Epoch Time (s)
1,0.3491466188776293,48.99
2,0.3262171532184811,43.69
3,0.31202177830806355,36.45
4,0.30228341285492916,36.90
5,0.2958927117868965,56.68
6,0.2899980511190193,41.53
7,0.2858430285336324,51.63
8,0.28217174250793287,57.15
9,0.2787593929943407,55.19
10,0.27653187433959936,38.38
11,0.2743262521867102,42.77
12,0.27216233231184284,38.99
13,0.26929525908145185,41.31
14,0.26697980173343744,47.20
15,0.26543678057280534,46.26
16,0.26368186214943523,38.67
17,0.2624005604647689,41.42
18,0.26112466214383123,43.74
19,0.2596601729875291,43.82
20,0.25812755377541324,46.55
21,0.25745260631092926,42.61
22,0.25563444215808667,43.28
23,0.2539662610113676,41.03
24,0.25323112480033005,43.34
25,0.2536699967089279,43.87
26,0.2526664942456669,44.94
27,0.2520283830792461,42.17
28,0.25001379347347424,40.06
29,0.24953866898133908,51.82
30,0.24803816198572715,52.21
Total Training Time,00:22:23 (1343.27 seconds)
