Epoch,Average Loss,Epoch Time (s)
1,0.00018530698839134673,21.97
2,8.56215709568164e-06,23.29
3,8.41446544587363e-06,22.19
4,8.316719206542301e-06,24.08
5,8.249559906833003e-06,23.92
6,8.181002577098516e-06,23.15
7,8.162547779923698e-06,24.18
8,8.125041358309214e-06,23.69
9,7.943930097844237e-06,23.91
10,7.641216575660743e-06,23.56
11,7.41815085505497e-06,24.04
12,7.368315820030551e-06,22.93
13,7.323133806725882e-06,24.45
14,7.1863336632003055e-06,24.12
15,7.005658684203451e-06,23.85
16,6.92009230714189e-06,24.32
17,6.841688615378366e-06,23.84
18,6.665976773439249e-06,24.49
19,6.340340733282922e-06,23.59
20,6.1300381854419035e-06,23.92
21,6.009819670358042e-06,23.07
22,5.862355954779558e-06,23.35
23,5.712263256456931e-06,23.70
24,5.602506796653549e-06,23.93
25,5.457111443391599e-06,24.33
26,5.384444043971609e-06,24.36
27,5.323183961681696e-06,23.97
28,5.2500259124610355e-06,24.32
29,5.0882877951766105e-06,24.28
30,4.946343632202595e-06,23.13
Total Training Time,00:11:52 (712.58 seconds)
