Epoch,Average Loss,Epoch Time (s)
1,0.0004244240080790528,58.51
2,1.795982132611569e-05,60.92
3,1.205686385967923e-05,52.21
4,1.00021174372248e-05,55.30
5,9.415049918569602e-06,60.84
6,9.093592547434562e-06,53.60
7,8.845893088407031e-06,54.46
8,8.653351757318721e-06,59.10
9,8.513504090991649e-06,51.72
10,8.402949464284403e-06,60.85
11,8.333132210256621e-06,48.45
12,8.271428288353671e-06,51.87
13,8.234974450766964e-06,73.95
14,8.199306747017602e-06,64.76
15,8.165883854669242e-06,62.37
16,8.148660413136626e-06,55.06
17,8.127023519398204e-06,56.81
18,8.107175984207166e-06,53.51
19,8.093842296979608e-06,52.07
20,8.082288067941534e-06,52.58
21,8.0684421111311e-06,50.86
22,8.057611509128452e-06,54.37
23,8.049119976502112e-06,51.14
24,8.040718679653931e-06,58.79
25,8.034269573168812e-06,52.61
26,8.027374852351676e-06,54.98
27,8.022913114503375e-06,60.07
28,8.017093388193396e-06,57.37
29,8.012801142427135e-06,50.00
30,8.010223333222532e-06,54.27
Total Training Time,00:28:04 (1684.79 seconds)
