Epoch,Average Loss,Epoch Time (s)
1,0.24686669806639353,21.37
2,0.20256623377402624,20.75
3,0.15173599372307459,17.70
4,0.10151690244674683,20.23
5,0.061579824114839234,17.94
6,0.03372129425406456,20.54
7,0.01702091268574198,17.81
8,0.008353145094588399,20.36
9,0.004208537982776761,18.01
10,0.0021674674741613367,20.33
11,0.0011175452479316543,20.41
12,0.0005907302014141654,18.17
13,0.00032130231071884435,20.21
14,0.00018806322865809003,18.13
15,0.0001284020569679948,20.26
16,0.00010208100745027575,18.32
17,8.702932973392308e-05,20.31
18,7.848357442223157e-05,17.59
19,7.341762102441862e-05,20.21
20,7.052587837582298e-05,17.48
21,6.913228814179699e-05,20.40
22,6.823796987494764e-05,19.98
23,6.782562074173863e-05,17.86
24,6.664713691861834e-05,17.44
25,6.678680983895902e-05,21.16
26,6.73602735332679e-05,17.65
27,6.702773801710767e-05,20.31
28,6.716109661889884e-05,17.90
29,6.73202115043144e-05,20.42
30,6.713919174217153e-05,18.27
Total Training Time,00:09:37 (577.91 seconds)
