Epoch,Average Loss,Epoch Time (s)
1,0.248693178097407,20.64
2,0.21396740525960922,20.22
3,0.15333522111177444,17.39
4,0.09476776048541069,20.44
5,0.055548700814445816,17.35
6,0.027799263286093872,20.46
7,0.014334202744066715,17.80
8,0.007639316919570168,20.40
9,0.004292434973952671,17.90
10,0.0024652279098518193,20.10
11,0.0013974027048485975,20.51
12,0.0008128631840615222,17.53
13,0.00047805201029405,20.67
14,0.0002945757102376471,17.45
15,0.0001933376285402725,20.35
16,0.0001337201550389485,17.81
17,9.995066284318455e-05,20.10
18,8.194938345695846e-05,20.33
19,7.206667093366075e-05,17.39
20,6.805873150976065e-05,20.83
21,6.577259349190474e-05,17.19
22,6.485501762654167e-05,20.50
23,6.460096240819742e-05,17.19
24,6.433075274496029e-05,20.80
25,6.441294560014892e-05,18.32
26,6.394004291602566e-05,18.81
27,6.417503936972935e-05,17.23
28,6.402485450962558e-05,20.70
29,6.42186732875416e-05,20.53
30,6.378337214603864e-05,17.61
Total Training Time,00:09:35 (575.04 seconds)
