Epoch,Average Loss,Epoch Time (s)
1,0.0006114952784883511,194.19
2,8.38799521498913e-05,199.25
3,7.481882633515743e-05,191.58
4,7.19803905211819e-05,194.87
5,7.058061874365328e-05,195.68
6,6.985802666380596e-05,188.41
7,6.928824000413273e-05,190.13
8,6.892489583224417e-05,188.24
9,6.865734976198747e-05,193.69
10,6.842790287020477e-05,195.92
11,6.818764320822498e-05,195.42
12,6.809076708563424e-05,197.95
13,6.791400496020635e-05,190.01
14,6.782478808309084e-05,195.46
15,6.77727439817039e-05,195.81
16,6.766333892759295e-05,186.66
17,6.750783910369475e-05,177.97
18,6.751116508929893e-05,184.56
19,6.744222851768567e-05,188.28
20,6.742611173570012e-05,193.33
21,6.732578766752484e-05,193.94
22,6.731205165260687e-05,187.48
23,6.728520834853241e-05,194.06
24,6.726795684355241e-05,189.09
25,6.718554763768536e-05,188.87
26,6.714346914932627e-05,193.19
27,6.714116838649156e-05,194.34
28,6.70854503640162e-05,192.67
29,6.707864486312179e-05,191.98
30,6.705645496091779e-05,192.56
Total Training Time,01:35:57 (5757.49 seconds)
