Epoch,Average Loss,Epoch Time (s)
1,1.0919249338081138,30.57
2,0.9587434570923414,30.83
3,0.8562750080461617,31.61
4,0.7988257016265745,30.01
5,0.762245346869858,31.72
6,0.7390202351278827,32.01
7,0.7147865405269113,30.23
8,0.6938578898096052,28.78
9,0.672870061377036,29.43
10,0.6518507630767783,27.86
11,0.6415909199237676,25.81
12,0.6241801705538633,31.16
13,0.6158544018661103,32.31
14,0.6031537148816201,28.01
15,0.597107797218687,28.36
16,0.5913563234042912,27.67
17,0.5883774070694733,27.94
18,0.5791817725204376,27.40
19,0.5788136850061867,27.78
20,0.5690696724425521,28.64
21,0.570932466922718,27.84
22,0.5627662483716503,28.04
23,0.5608853382166985,28.08
24,0.5566787512160981,27.84
25,0.5520174127028671,28.14
26,0.554464313233403,28.29
27,0.5531066043430715,44.08
28,0.5490779099981608,54.16
29,0.549888524036968,62.38
30,0.5450762416247985,61.55
Total Training Time,00:16:18 (978.97 seconds)
