Epoch,Average Loss,Epoch Time (s)
1,0.0005724716253180105,26.21
2,5.654672074132436e-05,26.49
3,5.556412010704281e-05,26.33
4,4.93249625067306e-05,26.49
5,4.4313004391470166e-05,26.72
6,4.261589539490234e-05,25.95
7,3.870707701697056e-05,26.69
8,3.770996656077549e-05,26.77
9,3.7437221812622124e-05,26.12
10,3.6501138979793374e-05,26.22
11,3.367802200643537e-05,26.78
12,3.226033657276835e-05,27.24
13,3.1243933347639985e-05,26.72
14,3.0505363173905903e-05,26.14
15,3.012032355562204e-05,26.05
16,2.9739077524664186e-05,26.28
17,2.806041983919933e-05,26.33
18,2.7030865014713186e-05,27.13
19,2.669507463801073e-05,26.88
20,2.6611202909209417e-05,26.22
21,2.6424447816580106e-05,26.87
22,2.6233179075271424e-05,26.17
23,2.6067911261403385e-05,27.36
24,2.569811262644089e-05,26.86
25,2.494430539288703e-05,26.74
26,2.4531991763457996e-05,24.99
27,2.4294173006718674e-05,26.23
28,2.394936189879875e-05,27.02
29,2.3725843267166345e-05,26.37
30,2.3405137968617617e-05,26.83
Total Training Time,00:13:15 (795.73 seconds)
