Epoch,Average Loss,Epoch Time (s)
1,0.0005607894186836635,50.76
2,6.771242765620258e-05,45.74
3,5.907049094806597e-05,59.02
4,5.653112433377303e-05,59.85
5,5.549686674508848e-05,51.40
6,5.492838283050674e-05,60.17
7,5.453348143760011e-05,55.26
8,5.4346462928655334e-05,55.40
9,5.41186889440228e-05,113.46
10,5.397607523340259e-05,150.64
11,5.383467195019401e-05,135.34
12,5.376507498673974e-05,133.86
13,5.370474166015526e-05,132.78
14,5.3610815840494117e-05,126.69
15,5.358165055438011e-05,132.01
16,5.350015399432476e-05,140.29
17,5.347613989301029e-05,133.28
18,5.3431038945306815e-05,139.20
19,5.337220660843007e-05,68.88
20,5.3329493859598795e-05,119.43
21,5.3311152425190076e-05,134.62
22,5.32885861462956e-05,109.93
23,5.326227542480825e-05,123.97
24,5.322722585794404e-05,93.17
25,5.322168858480257e-05,57.41
26,5.319298204425263e-05,55.63
27,5.317926325309631e-05,52.81
28,5.3140545280893154e-05,61.49
29,5.315001920551075e-05,56.57
30,5.3122042336902346e-05,56.88
Total Training Time,00:46:07 (2767.44 seconds)
