Epoch,Average Loss,Epoch Time (s)
1,0.25471435983975727,23.87
2,0.2093211685617765,17.66
3,0.15695137530565262,18.23
4,0.10522618020574252,19.97
5,0.06416615781684716,18.76
6,0.03546398039907217,20.37
7,0.018267126598705847,20.05
8,0.009374214646716913,18.00
9,0.005144072386125724,20.51
10,0.00307615598042806,18.16
11,0.002013918109393368,19.75
12,0.0014779509704870482,18.20
13,0.0012031234412764509,19.30
14,0.0010672627637783687,20.20
15,0.0010068849951494485,18.04
16,0.0009789184550754726,19.25
17,0.0009623679507058114,17.72
18,0.0009537240936576078,19.67
19,0.0009500305944432815,17.95
20,0.0009479141347886374,19.37
21,0.0009439977196355661,17.72
22,0.0009460547589696944,19.92
23,0.0009444700748038789,19.99
24,0.0009455029115391275,17.98
25,0.0009435136356235793,19.87
26,0.0009433607143970827,18.19
27,0.000943044355760018,20.02
28,0.0009423346782568842,17.78
29,0.0009442015240589777,19.61
30,0.0009425657141643266,17.94
Total Training Time,00:09:34 (574.47 seconds)
