Epoch,Average Loss,Epoch Time (s)
1,0.25683605919281643,19.00
2,0.22160464773575464,21.19
3,0.15941228965918222,18.01
4,0.09854721898833911,20.75
5,0.058461409683028855,18.00
6,0.02955431429048379,20.82
7,0.015637279798587162,20.50
8,0.008708044964199265,18.08
9,0.0053047894810636835,20.93
10,0.003412516671232879,18.50
11,0.0023178830742836,20.48
12,0.001714451878797263,18.02
13,0.001364986877888441,20.89
14,0.001178909403582414,18.14
15,0.0010731585789471865,20.75
16,0.0010104060250644882,20.50
17,0.0009757114942961683,18.30
18,0.0009539106686133891,20.52
19,0.000943844779006516,18.18
20,0.0009408225693429509,20.82
21,0.0009406120904410878,18.38
22,0.0009372814286810657,20.68
23,0.0009361860090090582,20.62
24,0.0009374639485031366,17.82
25,0.0009377125243190676,20.48
26,0.0009377399595299115,18.21
27,0.0009373077579463521,20.21
28,0.0009357846283819526,17.94
29,0.0009364638535771519,20.61
30,0.0009375284522927055,20.77
Total Training Time,00:09:48 (588.55 seconds)
