Epoch,Average Loss,Epoch Time (s)
1,0.2955513720711072,20.84
2,0.05776496169467767,18.29
3,0.033033118272821106,20.41
4,0.029545399049917858,20.46
5,0.02175353157023589,17.78
6,0.0157572904912134,20.94
7,0.011708803164462248,18.02
8,0.008612321456894279,20.60
9,0.006018842958534758,17.83
10,0.004504133636752765,20.27
11,0.003246050289211174,20.79
12,0.0024511710895846286,18.42
13,0.0019547209182443717,22.41
14,0.0016811089590191841,18.04
15,0.0015375054984663923,20.58
16,0.0014526623611648877,20.64
17,0.0014908559775600831,18.20
18,0.001487880595959723,20.67
19,0.0013901862354638677,17.95
20,0.0013333546618620555,20.01
21,0.0012940417509526014,18.54
22,0.0012605355392831068,20.40
23,0.0012612098556322355,20.88
24,0.0013957689128195245,18.31
25,0.0013395524971807997,20.22
26,0.0012459349624502163,18.26
27,0.0012037433916702867,20.44
28,0.001172871367695431,19.01
29,0.0011507773112195234,20.38
30,0.0011320615109677117,20.68
Total Training Time,00:09:53 (593.02 seconds)
