Epoch,Average Loss,Epoch Time (s)
1,0.0014487258266161402,27.75
2,0.0005007807517973703,27.42
3,0.0004449253934007004,27.40
4,0.0004192347425130623,27.54
5,0.00042433239320264636,27.27
6,0.00041794962505444633,26.68
7,0.000395728452012144,27.13
8,0.00038369707547638025,27.27
9,0.0003743532354171618,26.92
10,0.00036718289112626135,26.94
11,0.00035509031431818386,26.73
12,0.0003452539422295594,27.01
13,0.0003379529713098705,26.76
14,0.000329079800917255,27.07
15,0.00032258765093895404,27.01
16,0.00031566136795347966,27.54
17,0.00031074341570550554,27.39
18,0.000305362379730436,26.56
19,0.00030083729222028484,27.53
20,0.0002981722367644204,27.16
21,0.00029417424902525774,26.96
22,0.00029258805667986115,27.10
23,0.0002891199909459824,26.78
24,0.0002864219407098019,26.97
25,0.0002827962915674556,25.86
26,0.00028150290548858834,25.68
27,0.000280530347783508,26.83
28,0.0002778425289805788,26.80
29,0.0002753052256561433,26.96
30,0.00027472810270302866,26.85
Total Training Time,00:13:30 (810.38 seconds)
