Epoch,Average Loss,Epoch Time (s)
1,4.023637289321753,40.51
2,3.650955611751835,42.38
3,3.251397021244221,42.16
4,2.9909425728119214,40.02
5,2.806396684687612,38.05
6,2.6706642623428913,41.51
7,2.537218610786121,40.80
8,2.4241369047540906,43.01
9,2.339736136524125,39.91
10,2.267540307271963,41.88
11,2.2142875317840627,33.79
12,2.1642648375092954,32.97
13,2.122871044420148,36.78
14,2.0819073068637075,40.56
15,2.041202970639395,37.12
16,2.0072283911255604,39.82
17,1.9688275602726826,41.98
18,1.9337283829322942,48.71
19,1.9003070179136956,43.78
20,1.8676472003052416,75.21
21,1.8348090710659042,41.20
22,1.8096516564253886,37.54
23,1.7811481400155167,35.19
24,1.7619296883123425,34.84
25,1.7424933114637535,40.78
26,1.731397255941354,41.27
27,1.718120069062073,40.38
28,1.7120141720077942,37.46
29,1.701641096799712,38.84
30,1.6918385521988406,38.86
Total Training Time,00:20:27 (1227.74 seconds)
