Epoch,Average Loss,Epoch Time (s)
1,0.0011782003083154653,53.29
2,0.0005559705267736587,49.56
3,0.0005398332472797781,50.40
4,0.0005344836772771,59.60
5,0.0005314809770977782,58.32
6,0.0005295447678001726,49.49
7,0.0005275378955841786,44.71
8,0.0005266555896081706,51.54
9,0.0005257492893287433,56.28
10,0.0005251654436873867,59.14
11,0.0005248117678080167,48.99
12,0.0005241648716023332,55.42
13,0.0005241898786762846,58.02
14,0.0005237617267259935,52.82
15,0.0005236743700505234,62.58
16,0.0005233558519871829,52.36
17,0.000523340792739053,52.83
18,0.0005228350464922313,52.67
19,0.0005228313718552487,57.43
20,0.0005225746749800946,52.33
21,0.0005226344893528109,55.17
22,0.0005225328862160257,56.93
23,0.0005224048571184498,49.33
24,0.0005222090055427845,52.39
25,0.0005218936879647811,55.75
26,0.0005219974423804938,54.69
27,0.0005220151866348513,60.21
28,0.0005218218808090046,52.93
29,0.0005216924007662987,47.80
30,0.0005216488504853293,52.00
Total Training Time,00:26:56 (1616.14 seconds)
