Task,SNR,NMSE
S1,0,0.000057
S1,5,0.000040
S1,10,0.000038
S1,12,0.000038
S1,14,0.000038
S1,16,0.000038
S1,18,0.000038
S1,20,0.000038
S1,22,0.000038
S1,24,0.000038
S1,26,0.000038
S1,28,0.000038
S1,30,0.000038
S2,0,0.000029
S2,5,0.000026
S2,10,0.000026
S2,12,0.000025
S2,14,0.000025
S2,16,0.000025
S2,18,0.000025
S2,20,0.000025
S2,22,0.000025
S2,24,0.000025
S2,26,0.000025
S2,28,0.000025
S2,30,0.000025
S3,0,0.000000
S3,5,0.000000
S3,10,0.000000
S3,12,0.000000
S3,14,0.000000
S3,16,0.000000
S3,18,0.000000
S3,20,0.000000
S3,22,0.000000
S3,24,0.000000
S3,26,0.000000
S3,28,0.000000
S3,30,0.000000
