Task,SNR,NMSE
S1_Compact,0,2.0865182242034885e-06
S1_Compact,5,1.1342176879623279e-06
S1_Compact,10,5.433262093355638e-07
S1_Compact,12,4.012660224666928e-07
S1_Compact,14,2.98435010839682e-07
S1_Compact,16,2.2809488263494265e-07
S1_Compact,18,1.8097826466078856e-07
S1_Compact,20,1.4865418022653533e-07
S1_Compact,22,1.283614705330956e-07
S1_Compact,24,1.1547352734150061e-07
S1_Compact,26,1.0683461531046e-07
S1_Compact,28,1.015864862909834e-07
S1_Compact,30,9.80039173804851e-08
S2_Dense,0,2.048876870648898e-06
S2_Dense,5,1.090061812626152e-06
S2_Dense,10,5.083613684190591e-07
S2_Dense,12,3.615674834031985e-07
S2_Dense,14,2.582786524631829e-07
S2_Dense,16,1.870865246893732e-07
S2_Dense,18,1.3951036098559072e-07
S2_Dense,20,1.0698593468146498e-07
S2_Dense,22,8.657488829153912e-08
S2_Dense,24,7.357762296171121e-08
S2_Dense,26,6.504751022021377e-08
S2_Dense,28,5.9390483477811586e-08
S2_Dense,30,5.603719081514966e-08
S3_Standard,0,2.3555760648075675e-06
S3_Standard,5,1.399817329866747e-06
S3_Standard,10,8.105551090955341e-07
S3_Standard,12,6.660631336605464e-07
S3_Standard,14,5.665672840998489e-07
S3_Standard,16,4.938000721192371e-07
S3_Standard,18,4.4520368656681107e-07
S3_Standard,20,4.1308712101949636e-07
S3_Standard,22,3.9257523360940215e-07
S3_Standard,24,3.7902033104865945e-07
S3_Standard,26,3.7027507115049564e-07
S3_Standard,28,3.6482536515196326e-07
S3_Standard,30,3.6137350510276455e-07
