Task,SNR,NMSE
S1_Compact,0,3.1282539004341754e-06
S1_Compact,5,7.782819597472416e-07
S1_Compact,10,1.964452896709837e-07
S1_Compact,12,1.514950721466913e-07
S1_Compact,14,1.373876640385265e-07
S1_Compact,16,1.3240590315573944e-07
S1_Compact,18,1.297895659729008e-07
S1_Compact,20,1.2909074294556998e-07
S1_Compact,22,1.2839958153142575e-07
S1_Compact,24,1.2837040059375376e-07
S1_Compact,26,1.2818040210505655e-07
S1_Compact,28,1.2810836605996724e-07
S1_Compact,30,1.2808161173604205e-07
S2_Dense,0,3.1394806917450664e-06
S2_Dense,5,7.549339417748942e-07
S2_Dense,10,1.4503301313863014e-07
S2_Dense,12,9.110827842054831e-08
S2_Dense,14,7.240722665115465e-08
S2_Dense,16,6.5436395101389e-08
S2_Dense,18,6.271470018595033e-08
S2_Dense,20,6.162384263016273e-08
S2_Dense,22,6.106855752550367e-08
S2_Dense,24,6.070142682823619e-08
S2_Dense,26,6.051875157398272e-08
S2_Dense,28,6.036832293218152e-08
S2_Dense,30,6.034265019930419e-08
S3_Standard,0,3.7552661320030208e-06
S3_Standard,5,1.1712046354260092e-06
S3_Standard,10,4.866642905666988e-07
S3_Standard,12,4.2396567059251174e-07
S3_Standard,14,3.9925982184321243e-07
S3_Standard,16,3.897152637270952e-07
S3_Standard,18,3.853145453000848e-07
S3_Standard,20,3.829923783206073e-07
S3_Standard,22,3.8199441686026416e-07
S3_Standard,24,3.8157106105915125e-07
S3_Standard,26,3.813188873331653e-07
S3_Standard,28,3.8101024914661065e-07
S3_Standard,30,3.808732072207941e-07
