Task,SNR,NMSE
S1_Compact,0,3.335740482367989e-06
S1_Compact,5,1.7777408456081497e-06
S1_Compact,10,7.896576932891118e-07
S1_Compact,12,5.312642622526222e-07
S1_Compact,14,3.4211064110460686e-07
S1_Compact,16,2.2813867307121904e-07
S1_Compact,18,1.6668125362849085e-07
S1_Compact,20,1.3668308731555871e-07
S1_Compact,22,1.219660613459562e-07
S1_Compact,24,1.1516604708262379e-07
S1_Compact,26,1.1153506759027207e-07
S1_Compact,28,1.0971307242090168e-07
S1_Compact,30,1.0856265661803476e-07
S2_Dense,0,3.1237443512659945e-06
S2_Dense,5,1.6987094462870689e-06
S2_Dense,10,7.477938055444611e-07
S2_Dense,12,4.877785546468694e-07
S2_Dense,14,3.01434713841128e-07
S2_Dense,16,1.8591792269225673e-07
S2_Dense,18,1.223657121192621e-07
S2_Dense,20,9.091001829841536e-08
S2_Dense,22,7.622414438602955e-08
S2_Dense,24,6.837857444731087e-08
S2_Dense,26,6.511710444566598e-08
S2_Dense,28,6.317939484558898e-08
S2_Dense,30,6.205046665130973e-08
S3_Standard,0,3.2224769176565175e-06
S3_Standard,5,1.8912236631809957e-06
S3_Standard,10,9.482944473218908e-07
S3_Standard,12,6.771800534632543e-07
S3_Standard,14,4.744234142880196e-07
S3_Standard,16,3.457284743521931e-07
S3_Standard,18,2.7058973427995347e-07
S3_Standard,20,2.3096941700485605e-07
S3_Standard,22,2.1073841091842387e-07
S3_Standard,24,2.011011208206616e-07
S3_Standard,26,1.9456606572592054e-07
S3_Standard,28,1.9205160417793253e-07
S3_Standard,30,1.8924485891022196e-07
