Task,SNR,NMSE
S1_Compact,0,1.8427742535221497e-06
S1_Compact,5,9.050373401578621e-07
S1_Compact,10,4.030591875208239e-07
S1_Compact,12,3.0315572094567095e-07
S1_Compact,14,2.3394915850999678e-07
S1_Compact,16,1.8797825734403055e-07
S1_Compact,18,1.5976861472448267e-07
S1_Compact,20,1.4072574707432875e-07
S1_Compact,22,1.2890142012050874e-07
S1_Compact,24,1.2115474915905417e-07
S1_Compact,26,1.1650003599505735e-07
S1_Compact,28,1.1338153233477962e-07
S1_Compact,30,1.1128132304958458e-07
S2_Dense,0,1.7674517894419322e-06
S2_Dense,5,8.461795403624665e-07
S2_Dense,10,3.5287149704069595e-07
S2_Dense,12,2.5084583955267565e-07
S2_Dense,14,1.8193340329046859e-07
S2_Dense,16,1.3890107017603578e-07
S2_Dense,18,1.0999898761123202e-07
S2_Dense,20,9.16055571200086e-08
S2_Dense,22,7.908931827000478e-08
S2_Dense,24,7.172754608404389e-08
S2_Dense,26,6.706041934894171e-08
S2_Dense,28,6.404186946570012e-08
S2_Dense,30,6.202009420332918e-08
S3_Standard,0,2.006281949053574e-06
S3_Standard,5,1.1213900108868208e-06
S3_Standard,10,6.424437775808332e-07
S3_Standard,12,5.425134915471389e-07
S3_Standard,14,4.754755187223537e-07
S3_Standard,16,4.317160285078277e-07
S3_Standard,18,4.0378638379958174e-07
S3_Standard,20,3.8520324314903295e-07
S3_Standard,22,3.7332130804324277e-07
S3_Standard,24,3.658838174302095e-07
S3_Standard,26,3.6105569314030537e-07
S3_Standard,28,3.580828646641754e-07
S3_Standard,30,3.5615964310258046e-07
