Task,SNR,NMSE
S1_Compact,0,3.1120457468200424e-06
S1_Compact,5,1.0956785034350247e-06
S1_Compact,10,2.2019104599500012e-07
S1_Compact,12,1.3812032829982655e-07
S1_Compact,14,1.1496003263894202e-07
S1_Compact,16,1.0950173564444846e-07
S1_Compact,18,1.083715171888978e-07
S1_Compact,20,1.0800652607897333e-07
S1_Compact,22,1.0773544663030503e-07
S1_Compact,24,1.0768749522635358e-07
S1_Compact,26,1.0763543774943881e-07
S1_Compact,28,1.0755219535155682e-07
S1_Compact,30,1.0753563872226803e-07
S2_Dense,0,3.1932951320763292e-06
S2_Dense,5,1.1012906273752374e-06
S2_Dense,10,1.8093509867483833e-07
S2_Dense,12,9.325415528700224e-08
S2_Dense,14,6.758392420835494e-08
S2_Dense,16,6.002292199563876e-08
S2_Dense,18,5.794695979516325e-08
S2_Dense,20,5.71420920769083e-08
S2_Dense,22,5.658011510052669e-08
S2_Dense,24,5.636276489886938e-08
S2_Dense,26,5.616252839131629e-08
S2_Dense,28,5.609420608332116e-08
S2_Dense,30,5.599842234877659e-08
S3_Standard,0,3.6139954821046653e-06
S3_Standard,5,1.495138264855565e-06
S3_Standard,10,5.379035990834053e-07
S3_Standard,12,4.4356124768161266e-07
S3_Standard,14,4.098742310840825e-07
S3_Standard,16,3.9899186338830514e-07
S3_Standard,18,3.9514021022055896e-07
S3_Standard,20,3.9347356194070197e-07
S3_Standard,22,3.9242087404014736e-07
S3_Standard,24,3.919815901798179e-07
S3_Standard,26,3.9178188347058443e-07
S3_Standard,28,3.914976646206056e-07
S3_Standard,30,3.914644921057592e-07
