Task,SNR,NMSE
S1_Compact,0,0.6910891487048223
S1_Compact,5,0.6910764437455398
S1_Compact,10,0.6901719707709092
S1_Compact,12,0.692784112233382
S1_Compact,14,0.6897786443050091
S1_Compact,16,0.691291868686676
S1_Compact,18,0.6916899543542129
S1_Compact,20,0.6891272985018216
S1_Compact,22,0.6945763276173518
S1_Compact,24,0.690946143407088
S1_Compact,26,0.6905341744422913
S1_Compact,28,0.6886699612324054
S1_Compact,30,0.6907354639126704
S2_Dense,0,0.7337557765153738
S2_Dense,5,0.7328358475978558
S2_Dense,10,0.7299218361194317
S2_Dense,12,0.7309306722420913
S2_Dense,14,0.7292569600618802
S2_Dense,16,0.7321163874406081
S2_Dense,18,0.7290189587152921
S2_Dense,20,0.7287108164567214
S2_Dense,22,0.7307133858020489
S2_Dense,24,0.7312169441810021
S2_Dense,26,0.7273802252916189
S2_Dense,28,0.7329738873701829
S2_Dense,30,0.7277324199676514
S3_Standard,0,0.2585536493704869
S3_Standard,5,0.25811125796574813
S3_Standard,10,0.2570312275336339
S3_Standard,12,0.2567383979375546
S3_Standard,14,0.25765431041900927
S3_Standard,16,0.2581684405987079
S3_Standard,18,0.25671105545300704
S3_Standard,20,0.257262273476674
S3_Standard,22,0.2555533957022887
S3_Standard,24,0.2562513122191796
S3_Standard,26,0.2565229878975795
S3_Standard,28,0.25593694471395934
S3_Standard,30,0.2557208389043808
