Task,SNR,NMSE
S1_Compact,0,0.6233287086853614
S1_Compact,5,0.6201974291067857
S1_Compact,10,0.6228653605167682
S1_Compact,12,0.620519954424638
S1_Compact,14,0.6187043969447796
S1_Compact,16,0.6190029107607328
S1_Compact,18,0.6141558243678167
S1_Compact,20,0.6178904175758362
S1_Compact,22,0.6183710648463323
S1_Compact,24,0.61445152759552
S1_Compact,26,0.6218699354391831
S1_Compact,28,0.615449323103978
S1_Compact,30,0.6172775396933923
S2_Dense,0,0.5684321981209975
S2_Dense,5,0.5672318293498113
S2_Dense,10,0.5667636486200186
S2_Dense,12,0.5714155160463773
S2_Dense,14,0.5727449151185843
S2_Dense,16,0.5686633770282452
S2_Dense,18,0.5673489983265216
S2_Dense,20,0.5686571047856257
S2_Dense,22,0.577001493710738
S2_Dense,24,0.5702749903385456
S2_Dense,26,0.5669385057229263
S2_Dense,28,0.5628855595221887
S2_Dense,30,0.5728978973168594
S3_Standard,0,0.5584210294943589
S3_Standard,5,0.5424827795762283
S3_Standard,10,0.5356306525377127
S3_Standard,12,0.5352175831794739
S3_Standard,14,0.5331823642437274
S3_Standard,16,0.5328949047968938
S3_Standard,18,0.5346842545729417
S3_Standard,20,0.5338423710602981
S3_Standard,22,0.533620183284466
S3_Standard,24,0.5328587889671326
S3_Standard,26,0.5343630588971652
S3_Standard,28,0.5347106227507958
S3_Standard,30,0.5342492782152616
