Task,SNR,NMSE
S1_Compact,0,5.465197376755976e-06
S1_Compact,5,1.380294590593919e-06
S1_Compact,10,2.9859749138702544e-07
S1_Compact,12,2.057592631519147e-07
S1_Compact,14,1.5963838173751801e-07
S1_Compact,16,1.3239435220580594e-07
S1_Compact,18,1.1385043309488545e-07
S1_Compact,20,1.0123935205414706e-07
S1_Compact,22,9.310587172017682e-08
S1_Compact,24,8.812385940074336e-08
S1_Compact,26,8.505568781475094e-08
S1_Compact,28,8.339440678279348e-08
S1_Compact,30,8.237143561461971e-08
S2_Dense,0,5.221007568690665e-06
S2_Dense,5,1.302755257656465e-06
S2_Dense,10,2.498095306982209e-07
S2_Dense,12,1.6765086277696013e-07
S2_Dense,14,1.3040821264251254e-07
S2_Dense,16,1.1098356075294834e-07
S2_Dense,18,9.93213521532296e-08
S2_Dense,20,9.230949968042496e-08
S2_Dense,22,8.766283189393019e-08
S2_Dense,24,8.44397634479019e-08
S2_Dense,26,8.226045306618449e-08
S2_Dense,28,8.067631305052709e-08
S2_Dense,30,7.955374047287017e-08
S3_Standard,0,5.783535110342811e-06
S3_Standard,5,1.9218820434306323e-06
S3_Standard,10,8.787360204524073e-07
S3_Standard,12,7.944033488431365e-07
S3_Standard,14,7.606443126381375e-07
S3_Standard,16,7.436290204109075e-07
S3_Standard,18,7.338425507744361e-07
S3_Standard,20,7.281202703515384e-07
S3_Standard,22,7.250718009150812e-07
S3_Standard,24,7.23499699555e-07
S3_Standard,26,7.225987534216851e-07
S3_Standard,28,7.220076185520841e-07
S3_Standard,30,7.2168600601327e-07
