Task,SNR,NMSE
S1_Compact,0,1.6187492716570222e-06
S1_Compact,5,7.67612799173015e-07
S1_Compact,10,2.9664796235299793e-07
S1_Compact,12,1.9559331381982894e-07
S1_Compact,14,1.2369884047875975e-07
S1_Compact,16,7.439824246763562e-08
S1_Compact,18,4.497882559315126e-08
S1_Compact,20,2.915383336408959e-08
S1_Compact,22,2.0970088271643082e-08
S1_Compact,24,1.670545255730731e-08
S1_Compact,26,1.4412033222876182e-08
S1_Compact,28,1.3120291293835994e-08
S1_Compact,30,1.2366616815855586e-08
S2_Dense,0,1.5715055864117648e-06
S2_Dense,5,7.398784462387646e-07
S2_Dense,10,2.8352549974177246e-07
S2_Dense,12,1.8496833030609237e-07
S2_Dense,14,1.1573468822175892e-07
S2_Dense,16,6.954409047943249e-08
S2_Dense,18,4.207602808690962e-08
S2_Dense,20,2.723237771718676e-08
S2_Dense,22,1.9671042556545742e-08
S2_Dense,24,1.571126672689087e-08
S2_Dense,26,1.3529115735262238e-08
S2_Dense,28,1.2397423433520139e-08
S2_Dense,30,1.1681112260639593e-08
S3_Standard,0,1.577890757712445e-06
S3_Standard,5,7.862118287831607e-07
S3_Standard,10,3.399387666793122e-07
S3_Standard,12,2.425971455786026e-07
S3_Standard,14,1.7473257892667722e-07
S3_Standard,16,1.2933209272643502e-07
S3_Standard,18,1.0130973379759322e-07
S3_Standard,20,8.577055384963764e-08
S3_Standard,22,7.76587613784855e-08
S3_Standard,24,7.342308981650102e-08
S3_Standard,26,7.081851282945452e-08
S3_Standard,28,6.934641839917777e-08
S3_Standard,30,6.847283759343648e-08
