Task,SNR,NMSE
S1_Compact,0,1.2596452272362057e-08
S1_Compact,5,5.270706271431891e-09
S1_Compact,10,2.463945962816183e-09
S1_Compact,12,2.062572921346373e-09
S1_Compact,14,1.8282203395614261e-09
S1_Compact,16,1.708039154557639e-09
S1_Compact,18,1.6247421585902088e-09
S1_Compact,20,1.5691045174293094e-09
S1_Compact,22,1.5464966951483917e-09
S1_Compact,24,1.5294035637936077e-09
S1_Compact,26,1.511842731005686e-09
S1_Compact,28,1.5087734706042965e-09
S1_Compact,30,1.5034757350207428e-09
S2_Dense,0,1.1694909325399294e-08
S2_Dense,5,4.2937072830540045e-09
S2_Dense,10,1.6693890536600975e-09
S2_Dense,12,1.3316876512625697e-09
S2_Dense,14,1.1122119425444055e-09
S2_Dense,16,9.944217227442209e-10
S2_Dense,18,9.185448601733981e-10
S2_Dense,20,8.754628355589489e-10
S2_Dense,22,8.480524404941292e-10
S2_Dense,24,8.334898360384813e-10
S2_Dense,26,8.235868709238758e-10
S2_Dense,28,8.159614184322095e-10
S2_Dense,30,8.125652295465357e-10
S3_Standard,0,1.7733410437870134e-08
S3_Standard,5,1.070122939594853e-08
S3_Standard,10,8.058910463404344e-09
S3_Standard,12,7.690681140815059e-09
S3_Standard,14,7.480844601559511e-09
S3_Standard,16,7.386318809921022e-09
S3_Standard,18,7.315912515792888e-09
S3_Standard,20,7.273928961382126e-09
S3_Standard,22,7.247759832296197e-09
S3_Standard,24,7.2307079612699e-09
S3_Standard,26,7.221495881282181e-09
S3_Standard,28,7.2184772470507144e-09
S3_Standard,30,7.2142717044698655e-09
