Task,SNR,NMSE
S1_Compact,0,7.858904105262355e-09
S1_Compact,5,3.381957460746321e-09
S1_Compact,10,2.144227022604639e-09
S1_Compact,12,1.943579777119453e-09
S1_Compact,14,1.810692276116299e-09
S1_Compact,16,1.7315710243437366e-09
S1_Compact,18,1.6780431266738561e-09
S1_Compact,20,1.6505881594852667e-09
S1_Compact,22,1.6361128096775701e-09
S1_Compact,24,1.621345915303607e-09
S1_Compact,26,1.6138683456290437e-09
S1_Compact,28,1.6074114883579683e-09
S1_Compact,30,1.6033274885529636e-09
S2_Dense,0,6.716795279970711e-09
S2_Dense,5,2.3995807341137266e-09
S2_Dense,10,1.2512613389858983e-09
S2_Dense,12,1.0755831558739715e-09
S2_Dense,14,9.536488954076105e-10
S2_Dense,16,8.844314591804903e-10
S2_Dense,18,8.342171708974888e-10
S2_Dense,20,8.048464061882754e-10
S2_Dense,22,7.84593884306517e-10
S2_Dense,24,7.720145567269299e-10
S2_Dense,26,7.656676270784146e-10
S2_Dense,28,7.607241070406446e-10
S2_Dense,30,7.572876858930044e-10
S3_Standard,0,1.1948021310104196e-08
S3_Standard,5,7.93693565981357e-09
S3_Standard,10,6.8435472222461155e-09
S3_Standard,12,6.663197442691171e-09
S3_Standard,14,6.558480603047201e-09
S3_Standard,16,6.479469831788265e-09
S3_Standard,18,6.429342676028682e-09
S3_Standard,20,6.404897767708917e-09
S3_Standard,22,6.389253215388635e-09
S3_Standard,24,6.378423211828021e-09
S3_Standard,26,6.371228398194262e-09
S3_Standard,28,6.365643354655503e-09
S3_Standard,30,6.362711886254146e-09
