Task,SNR,NMSE
S1_Compact,0,nan
S1_Compact,5,nan
S1_Compact,10,nan
S1_Compact,12,nan
S1_Compact,14,nan
S1_Compact,16,nan
S1_Compact,18,nan
S1_Compact,20,nan
S1_Compact,22,nan
S1_Compact,24,nan
S1_Compact,26,nan
S1_Compact,28,nan
S1_Compact,30,nan
S2_Dense,0,nan
S2_Dense,5,nan
S2_Dense,10,nan
S2_Dense,12,nan
S2_Dense,14,nan
S2_Dense,16,nan
S2_Dense,18,nan
S2_Dense,20,nan
S2_Dense,22,nan
S2_Dense,24,nan
S2_Dense,26,nan
S2_Dense,28,nan
S2_Dense,30,nan
S3_Standard,0,nan
S3_Standard,5,nan
S3_Standard,10,nan
S3_Standard,12,nan
S3_Standard,14,nan
S3_Standard,16,nan
S3_Standard,18,nan
S3_Standard,20,nan
S3_Standard,22,nan
S3_Standard,24,nan
S3_Standard,26,nan
S3_Standard,28,nan
S3_Standard,30,nan
