Task,SNR,NMSE
S1_Compact,0,0.6426195823229276
S1_Compact,5,0.6374995158268855
S1_Compact,10,0.6359700698118943
S1_Compact,12,0.6374361927692707
S1_Compact,14,0.6379788793050326
S1_Compact,16,0.6392579766420218
S1_Compact,18,0.6370879182448754
S1_Compact,20,0.6362534990677466
S1_Compact,22,0.6359928342012259
S1_Compact,24,0.6361814462221586
S1_Compact,26,0.6351177188066336
S1_Compact,28,0.6397350292939407
S1_Compact,30,0.6378305233441867
S2_Dense,0,0.6089623295343839
S2_Dense,5,0.5915917020577651
S2_Dense,10,0.589458167552948
S2_Dense,12,0.5940074278758123
S2_Dense,14,0.5995334478525015
S2_Dense,16,0.5975071421036353
S2_Dense,18,0.6059990433546213
S2_Dense,20,0.5986119692142193
S2_Dense,22,0.5940988980806791
S2_Dense,24,0.5964955274875348
S2_Dense,26,0.5966640573281509
S2_Dense,28,0.6080131760010352
S2_Dense,30,0.5890928323452289
S3_Standard,0,0.5606173551999606
S3_Standard,5,0.5446450205949637
S3_Standard,10,0.5371326024715717
S3_Standard,12,0.5362683442922739
S3_Standard,14,0.5381661149171683
S3_Standard,16,0.5353148671296927
S3_Standard,18,0.5366598551089947
S3_Standard,20,0.5367325865305387
S3_Standard,22,0.5381716994138864
S3_Standard,24,0.5367525265767024
S3_Standard,26,0.5353160592225882
S3_Standard,28,0.53427104308055
S3_Standard,30,0.533418582035945
