Task,SNR,NMSE
S1_Compact,0,0.648119582579686
S1_Compact,5,0.6452070841422448
S1_Compact,10,0.6460830110770005
S1_Compact,12,0.643524917272421
S1_Compact,14,0.6460471107409551
S1_Compact,16,0.6449754146429209
S1_Compact,18,0.6458316399500921
S1_Compact,20,0.642364854996021
S1_Compact,22,0.642873424750108
S1_Compact,24,0.6443279798214252
S1_Compact,26,0.6476921897668105
S1_Compact,28,0.6431869772764353
S1_Compact,30,0.6438758235711318
S2_Dense,0,0.5903347501387963
S2_Dense,5,0.5915692769564115
S2_Dense,10,0.5899103513130775
S2_Dense,12,0.5980313007648175
S2_Dense,14,0.5917358444287226
S2_Dense,16,0.586454437329219
S2_Dense,18,0.589862938110645
S2_Dense,20,0.5890309306291434
S2_Dense,22,0.5871973587916448
S2_Dense,24,0.588445259974553
S2_Dense,26,0.5880631529367887
S2_Dense,28,0.5904379166089572
S2_Dense,30,0.5789822706809411
S3_Standard,0,0.5671104834629939
S3_Standard,5,0.5656274052766653
S3_Standard,10,0.5660364398589501
S3_Standard,12,0.5629458610828106
S3_Standard,14,0.5613095576946552
S3_Standard,16,0.5612329748960642
S3_Standard,18,0.5619509495221652
S3_Standard,20,0.5630014951412494
S3_Standard,22,0.5634756546754104
S3_Standard,24,0.5620021178172185
S3_Standard,26,0.5623684800588168
S3_Standard,28,0.5617705721121568
S3_Standard,30,0.5630516684972323
