Task,SNR,NMSE
S1_Compact,0,5.7295235474586835e-06
S1_Compact,5,3.654455842284053e-06
S1_Compact,10,1.7301138263661018e-06
S1_Compact,12,1.1565090203472907e-06
S1_Compact,14,7.130434990719249e-07
S1_Compact,16,4.205891387104753e-07
S1_Compact,18,2.536783520965817e-07
S1_Compact,20,1.6632766111775036e-07
S1_Compact,22,1.224285291113473e-07
S1_Compact,24,1.0140279551443667e-07
S1_Compact,26,9.077106352346145e-08
S1_Compact,28,8.526285498590778e-08
S1_Compact,30,8.236144491094067e-08
S2_Dense,0,5.518177382759653e-06
S2_Dense,5,3.5621036497068322e-06
S2_Dense,10,1.7446623402916557e-06
S2_Dense,12,1.1550975854341162e-06
S2_Dense,14,7.217594681390085e-07
S2_Dense,16,4.2857458573366716e-07
S2_Dense,18,2.582643983186745e-07
S2_Dense,20,1.6958279852446096e-07
S2_Dense,22,1.251099158749718e-07
S2_Dense,24,1.037451416009699e-07
S2_Dense,26,9.35894830910487e-08
S2_Dense,28,8.686123058825766e-08
S2_Dense,30,8.488775918730056e-08
S3_Standard,0,5.869497895286609e-06
S3_Standard,5,3.9515144354387175e-06
S3_Standard,10,2.1009180722376008e-06
S3_Standard,12,1.4967938586053407e-06
S3_Standard,14,1.0280009035048976e-06
S3_Standard,16,7.075306360031907e-07
S3_Standard,18,5.196169334223051e-07
S3_Standard,20,4.142879879234723e-07
S3_Standard,22,3.573557207629536e-07
S3_Standard,24,3.299567913274998e-07
S3_Standard,26,3.1548977567191535e-07
S3_Standard,28,3.0891610399017277e-07
S3_Standard,30,3.0269807820868313e-07
