Task,SNR,NMSE
S1_Compact,0,3.6937680542340823e-06
S1_Compact,5,1.5846300514904938e-06
S1_Compact,10,3.749992679778174e-07
S1_Compact,12,2.398417491795388e-07
S1_Compact,14,1.7961681872707862e-07
S1_Compact,16,1.4617547965386959e-07
S1_Compact,18,1.2730675132792098e-07
S1_Compact,20,1.1415572618855122e-07
S1_Compact,22,1.0608489920352662e-07
S1_Compact,24,1.0078043040601524e-07
S1_Compact,26,9.734320021199919e-08
S1_Compact,28,9.52150318870923e-08
S1_Compact,30,9.376335783575009e-08
S2_Dense,0,3.5078712888020444e-06
S2_Dense,5,1.475489784272603e-06
S2_Dense,10,3.1212369510483973e-07
S2_Dense,12,1.9252741580089349e-07
S2_Dense,14,1.3733515217045143e-07
S2_Dense,16,1.1029046993606909e-07
S2_Dense,18,9.522916891326899e-08
S2_Dense,20,8.547519095073138e-08
S2_Dense,22,7.975955970257616e-08
S2_Dense,24,7.614765800490839e-08
S2_Dense,26,7.385127574620308e-08
S2_Dense,28,7.242404297783855e-08
S2_Dense,30,7.156795531509833e-08
S3_Standard,0,4.1484104589879805e-06
S3_Standard,5,2.11082589164425e-06
S3_Standard,10,9.695106029031486e-07
S3_Standard,12,8.432071819645317e-07
S3_Standard,14,7.843177350067408e-07
S3_Standard,16,7.603478663297854e-07
S3_Standard,18,7.465436547329278e-07
S3_Standard,20,7.382354456681204e-07
S3_Standard,22,7.334973616720371e-07
S3_Standard,24,7.306670395062385e-07
S3_Standard,26,7.291549298993855e-07
S3_Standard,28,7.280681563486165e-07
S3_Standard,30,7.274281272363649e-07
