Epoch,Average Loss,Epoch Time (s)
1,0.004069897374087768,67.82
2,0.0032086641926620074,59.23
3,0.0029625124045822714,61.85
4,0.002868386473472582,57.48
5,0.0027482950741940645,62.43
6,0.0027289904757701955,60.44
7,0.002684302236418692,70.06
8,0.00263157370441654,65.30
9,0.002624092121559101,65.39
10,0.0025957309994238706,70.56
11,0.0025758373912368416,68.78
12,0.0025691019680508707,65.68
13,0.0025492318614608643,61.75
14,0.0025623163861080746,69.16
15,0.002551437813944297,68.85
16,0.0025294031505241213,69.97
17,0.002523636809281307,71.48
18,0.0025075717721888663,70.89
19,0.0025259410353747863,64.10
20,0.002505986383766941,71.52
21,0.0024667498581707184,73.55
22,0.002450714855156672,67.14
23,0.002448238245491138,68.75
24,0.002444123099041553,65.71
25,0.002435662123247296,65.47
26,0.0024207382529276857,62.30
27,0.0024255682584042267,71.40
28,0.002424766261775785,71.94
29,0.0024082380213665965,76.00
30,0.002411788203592167,60.74
Total Training Time,00:33:26 (2006.95 seconds)
