Epoch,Average Loss,Epoch Time (s)
1,4.255193510199352,66.28
2,4.1858183896700565,74.91
3,4.114201820144304,71.10
4,4.103110437849759,68.78
5,4.012609019033502,74.87
6,3.9498945296495633,74.06
7,3.8312794254602824,75.53
8,nan,68.35
9,nan,71.72
10,nan,68.49
11,nan,70.04
12,nan,69.96
13,nan,75.58
14,nan,69.64
15,nan,70.88
16,nan,70.66
17,nan,74.53
18,nan,72.25
19,nan,72.17
20,nan,77.76
21,nan,69.55
22,nan,72.36
23,nan,75.24
24,nan,74.82
25,nan,71.07
26,nan,70.61
27,nan,71.59
28,nan,73.65
29,nan,71.94
30,nan,79.77
Total Training Time,00:36:08 (2168.49 seconds)
